"","SampleIdentity","Comments","NO3.NO2..Results.ug.L.","orthoP..Results.ug.L.","NH3..Results.ug.L."
"1","IC_grassesIN_T1","Magee intact cores, 20220712",24.58,29.4,41.34
"2","IC_1_T1","",7.08,25.4,31.87
"3","IC_2_T1","",14.35,30.06,52.19
"4","IC_3_T1","",24.47,28.78,37.94
"5","IC_openwaterIN_T1","",48.19,99.5,55.45
"6","IC_4_T1","",40.58,75.82,279.17
"7","IC_5_T1","",43.12,84,127.12
"8","IC_6_T1","",39.1,95,66.13
"9","IC_hardwoodsIN_T1","",20.6,16.7,12.1
"10","IC_7_T1","",20.89,16.45,28.02
"11","IC_8_T1","",22.38,42.25,257.51
"12","IC_9_T1","",21.33,22.47,34.36
"13","IC_typhaIN_T1","",22.42,14.45,12.75
"14","IC_10_T1","",32.56,17.35,150.13
"15","IC_11_T1","",21.43,16.14,133.74
"16","IC_12_T1","",22.28,16.08,21.39
"17","IC_grassesIN_T2","",21.22,36.75,61.87
"18","IC_1_T2","",26.21,27.67,65.98
"19","IC_2_T2","",23.13,37.06,47.58
"20","IC_3_T2","",22.12,26.77,36.36
"21","IC_openwaterIN_T2","",43.87,100.08,81.4
"22","IC_4_T2","",35.48,69.94,190.16
"23","IC_5_T2","",35.45,74.77,116.01
"24","IC_6_T2","",35.47,84.06,61.69
"25","IC_hardwoodsIN_T2","",18.9,21.07,19.23
"26","IC_7_T2","",19.38,19.3,36.95
"27","IC_8_T2","",19.02,28.68,195.45
"28","IC_9_T2","",20.22,19.43,30.29
"29","IC_typhaIN_T2","",19.61,14.15,14.04
"30","IC_10_T2","",20.86,22.97,146.27
"31","IC_11_T2","",20.17,20.86,156.01
"32","IC_12_T2","",19.94,25.29,29.56
"33","IC_grassesIN_T3","",21.54,44.02,84.24
"34","IC_1_T3","",26.53,17.43,156.63
"35","IC_2_T3","",22.63,37.82,57.99
"36","IC_3_T3","",20.16,34.27,81.05
"37","IC_openwaterIN_T3","",44.96,104.87,92.16
"38","IC_4_T3","",43.09,70.71,158.71
"39","IC_5_T3","",40.69,80.26,165.8
"40","IC_6_T3","",44.86,91.02,95.96
"41","IC_hardwoodsIN_T3","",21.71,20.11,28.56
"42","IC_7_T3","",21.99,21.38,22.85
"43","IC_8_T3","",21.57,29.06,123.91
"44","IC_9_T3","",19.05,20.78,17.69
"45","IC_typhaIN_T3","",29.41,16.99,19.37
"46","IC_10_T3","",19.36,18.46,65.64
"47","IC_11_T3","",20.11,21.36,89.51
"48","IC_12_T3","",17.4,23.05,69.48
