site,date_deployed,date_collected,days_deployed,date_extracted,date_analyzed,sample_point,core_id,bag_id,core_sa_m2,resin_added,perc_dw_org,total_resin_ww,boat_weight,ww_subsample,dw_plus_boat,extraction_subsample_ww,percent_moisture,percent_dw,total_extractant_added_L
MAGM,20220719,20220802,14,20220803,20220816,2,C,2,0.00456,20.0315,0.45,21.29,3.24,4.03,4.8,2.03,0.612903226,0.387096774,0.041244194
MAGM,20220719,20220802,14,20220803,20220816,2,C,3,0.00456,30.0298,0.45,38.07,3.24,4.04,4.75,1.98,0.626237624,0.373762376,0.04123995
MAGM,20220719,20220802,14,20220803,20220816,3,A,1,0.00456,30.0461,0.45,31.64,3.17,4.01,4.75,1.99,0.605985037,0.394014963,0.04120591
MAGM,20220719,20220802,14,20220803,20220816,3,A,2,0.00456,20.0127,0.45,18.08,3.21,4.01,5.21,1.99,0.501246883,0.498753117,0.040997481
MAGM,20220719,20220802,14,20220803,20220816,3,A,3,0.00456,29.9891,0.45,28.5,3.22,3.99,5.08,1.98,0.533834586,0.466165414,0.041056992
MAGM,20220719,20220802,14,20220803,20220816,3,B,1,0.00456,30.04,0.45,35.25,3.14,4.01,4.66,2.03,0.620947631,0.379052369,0.041260524
MAGM,20220719,20220802,14,20220803,20220816,3,B,2,0.00456,19.9972,0.45,19,3.17,3.99,4.74,2.04,0.606516291,0.393483709,0.041237293
MAGM,20220719,20220802,14,20220803,20220816,3,B,3,0.00456,30.05,0.45,33.39,3.17,4,4.65,2.04,0.63,0.37,0.0412852
MAGM,20220719,20220802,14,20220803,20220816,3,C,1,0.00456,29.9527,0.45,33.3,2.56,3.97,4.09,1.99,0.614609572,0.385390428,0.041223073
MAGM,20220719,20220802,14,20220803,20220816,3,C,2,0.00456,20.0179,0.45,20.89,3.04,3.99,4.58,2.03,0.614035088,0.385964912,0.041246491
MAGM,20220719,20220802,14,20220803,20220816,3,C,3,0.00456,30.0308,0.45,37.06,2.76,3.95,4.21,2.04,0.632911392,0.367088608,0.041291139
MAGM,20220719,20220802,14,20220803,20220816,4,A,1,0.00456,29.9521,0.45,36.07,2.76,4,4.4,1.99,0.59,0.41,0.0411741
MAGM,20220719,20220802,14,20220803,20220816,4,A,2,0.00456,19.9592,0.45,22.51,2.63,4.05,4.27,2.01,0.595061728,0.404938272,0.041196074
MAGM,20220719,20220802,14,20220803,20220816,4,A,3,0.00456,29.9853,0.45,37.49,2.76,4.04,4.27,2.01,0.626237624,0.373762376,0.041258738
MAGM,20220719,20220802,14,20220803,20220816,4,B,1,0.00456,29.9695,0.45,28.33,2.61,4.04,4.67,2.01,0.49009901,0.50990099,0.040985099
MAGM,20220719,20220802,14,20220803,20220816,4,B,2,0.00456,19.9876,0.45,19.5,2.62,4.04,4.53,1.96,0.527227723,0.472772277,0.041033366
MAGM,20220719,20220802,14,20220803,20220816,4,B,3,0.00456,29.9686,0.45,38.85,2.61,3.96,4.09,2,0.626262626,0.373737374,0.041252525
MAGM,20220719,20220802,14,20220803,20220816,4,C,1,0.00456,30.0114,0.45,38.1,2.71,3.97,4.29,2,0.602015113,0.397984887,0.04120403
MAGM,20220719,20220802,14,20220803,20220816,4,C,2,0.00456,19.9548,0.45,19.79,2.67,3.98,4.25,1.96,0.603015075,0.396984925,0.04118191
MAGM,20220719,20220802,14,20220803,20220816,4,C,3,0.00456,29.9765,0.45,32.33,2.66,3.95,4.21,2.03,0.607594937,0.392405063,0.041233418
MAGM,20220719,20220802,14,20220803,20220816,5,A,1,0.00456,30.013,0.45,36.2,2.58,4.04,4.15,2.02,0.611386139,0.388613861,0.041235
MAGM,20220719,20220802,14,20220803,20220816,5,A,2,0.00456,20.0091,0.45,24.39,2.56,4.01,4.05,2.01,0.628428928,0.371571072,0.041263142
MAGM,20220719,20220802,14,20220803,20220816,5,A,3,0.00456,29.9974,0.45,38.19,2.59,3.99,4.03,2,0.639097744,0.360902256,0.041278195
MAGM,20220719,20220802,14,20220803,20220816,5,B,1,0.00456,30.0185,0.45,37.85,2.76,3.97,4.23,1.97,0.629722922,0.370277078,0.041240554
MAGM,20220719,20220802,14,20220803,20220816,5,B,2,0.00456,19.9608,0.45,24.11,2.69,4,4.18,1.98,0.6275,0.3725,0.04124245
MAGM,20220719,20220802,14,20220803,20220816,5,B,3,0.00456,30.045,0.45,40.84,2.73,4.04,4.17,2,0.643564356,0.356435644,0.041287129
MAGM,20220719,20220802,14,20220803,20220816,5,C,1,0.00456,30.0315,0.45,40.27,3.03,4,4.47,2.04,0.64,0.36,0.0413056
MAGM,20220719,20220802,14,20220803,20220816,5,C,2,0.00456,19.9916,0.45,24.8,3.04,4.05,4.54,1.99,0.62962963,0.37037037,0.041252963
MAGM,20220719,20220802,14,20220803,20220816,5,C,3,0.00456,29.9751,0.45,38.26,2.98,3.99,4.43,1.98,0.636591479,0.363408521,0.041260451
MAGM,20220719,20220802,14,20220803,20220816,6,A,1,0.00456,29.9564,0.45,31,2.82,4.01,4.46,2.01,0.591022444,0.408977556,0.041187955
MAGM,20220719,20220802,14,20220803,20220816,6,A,2,0.00456,19.9871,0.45,18.99,2.85,3.95,4.45,1.99,0.594936709,0.405063291,0.041183924
MAGM,20220719,20220802,14,20220803,20220816,6,A,3,0.00456,29.9869,0.45,32.72,3.12,4.05,4.67,2.04,0.617283951,0.382716049,0.041259259
MAGM,20220719,20220802,14,20220803,20220816,6,B,1,0.00456,29.9628,0.45,38.43,2.96,4.01,4.47,2.01,0.623441397,0.376558603,0.041253117
MAGM,20220719,20220802,14,20220803,20220816,6,B,2,0.00456,20.0465,0.45,24.21,3.11,4,4.19,2.04,0.73,0.27,0.0414892
MAGM,20220719,20220802,14,20220803,20220816,6,B,3,0.00456,30.0149,0.45,39.71,2.85,3.98,4.28,2,0.640703518,0.359296482,0.041281407
MAGM,20220719,20220802,14,20220803,20220816,6,C,1,0.00456,30.04,0.45,39.47,2.82,4.03,4.33,2.02,0.625310174,0.374689826,0.041263127
MAGM,20220719,20220802,14,20220803,20220816,6,C,2,0.00456,20.03,0.45,24.39,2.84,4.01,4.38,2.03,0.6159601,0.3840399,0.041250399
MAGM,20220719,20220802,14,20220803,20220816,6,C,3,0.00456,30.01,0.45,39.7,2.78,3.99,4.24,2.05,0.634085213,0.365914787,0.041299875
MAGM,20220719,20220802,14,20220803,20220816,7,A,1,0.00456,29.96,0.45,37.47,2.68,3.99,4.25,1.98,0.606516291,0.393483709,0.041200902
MAGM,20220719,20220802,14,20220803,20220816,7,A,2,0.00456,19.96,0.45,23.8,2.83,4.05,4.36,2,0.622222222,0.377777778,0.041244444
MAGM,20220719,20220802,14,20220803,20220816,7,A,3,0.00456,30.03,0.45,39.21,2.85,3.98,4.31,2.02,0.633165829,0.366834171,0.041278995
MAGM,20220719,20220802,14,20220803,20220816,7,B,1,0.00456,29.98,0.45,36.62,2.86,4.01,4.46,2,0.600997506,0.399002494,0.041201995
MAGM,20220719,20220802,14,20220803,20220816,7,B,2,0.00456,20.04,0.45,23.64,2.89,3.97,4.38,2.03,0.624685139,0.375314861,0.041268111
MAGM,20220719,20220802,14,20220803,20220816,7,B,3,0.00456,29.99,0.45,39.36,2.96,4.02,4.42,2.04,0.63681592,0.36318408,0.041299104
MAGM,20220719,20220802,14,20220803,20220816,7,C,1,0.00456,30.05,0.45,39.72,2.94,4.02,4.48,1.99,0.616915423,0.383084577,0.041227662
MAGM,20220719,20220802,14,20220803,20220816,7,C,2,0.00456,20.01,0.45,24.41,2.96,4.01,4.46,1.97,0.625935162,0.374064838,0.041233092
MAGM,20220719,20220802,14,20220803,20220816,7,C,3,0.00456,30.01,0.45,39.25,2.79,3.98,4.28,2,0.625628141,0.374371859,0.041251256
MAGM,20220719,20220802,14,20220803,20220816,8,A,1,0.00456,30.04,0.45,33.32,2.8,3.98,4.31,2,0.620603015,0.379396985,0.041241206
MAGM,20220719,20220802,14,20220803,20220816,8,A,2,0.00456,20.04,0.45,17.35,2.78,3.97,4.47,2.02,0.574307305,0.425692695,0.041160101
MAGM,20220719,20220802,14,20220803,20220816,8,A,3,0.00456,30.02,0.45,31.99,2.83,3.97,4.35,1.98,0.617128463,0.382871537,0.041221914
MAGM,20220719,20220802,14,20220803,20220816,8,B,1,0.00456,29.95,0.45,34.57,2.82,3.95,4.33,1.97,0.617721519,0.382278481,0.041216911
MAGM,20220719,20220802,14,20220803,20220816,8,B,2,0.00456,19.99,0.45,21.12,2.83,3.98,4.31,2.04,0.628140704,0.371859296,0.041281407
MAGM,20220719,20220802,14,20220803,20220816,8,B,3,0.00456,30.05,0.45,34.53,2.88,4.02,4.37,1.99,0.629353234,0.370646766,0.041252413
MAGM,20220719,20220802,14,20220803,20220816,8,C,1,0.00456,30.03,0.45,31.35,2.83,4.02,4.43,2.03,0.60199005,0.39800995,0.04122204
MAGM,20220719,20220802,14,20220803,20220816,8,C,2,0.00456,19.96,0.45,20.1,2.85,3.98,4.4,1.96,0.610552764,0.389447236,0.041196683
MAGM,20220719,20220802,14,20220803,20220816,8,C,3,0.00456,30.03,0.45,36.24,2.87,3.99,4.35,2.04,0.629072682,0.370927318,0.041283308
MAGM,20220719,20220802,14,20220803,20220816,9,A,1,0.00456,29.97,0.45,39.27,2.87,4.01,4.35,2.01,0.630922693,0.369077307,0.041268155
MAGM,20220719,20220802,14,20220803,20220816,9,A,2,0.00456,20.02,0.45,23.14,2.88,4.01,4.4,2.03,0.620947631,0.379052369,0.041260524
MAGM,20220719,20220802,14,20220803,20220816,9,A,3,0.00456,30.04,0.45,40.08,2.86,4,4.32,1.95,0.635,0.365,0.04123825
MAGM,20220719,20220802,14,20220803,20220816,9,B,1,0.00456,30.05,0.45,34.32,2.88,3.98,4.52,1.96,0.587939698,0.412060302,0.041152362
MAGM,20220719,20220802,14,20220803,20220816,9,B,2,0.00456,19.97,0.45,22.05,2.88,4.03,4.53,2.01,0.59057072,0.40942928,0.041187047
MAGM,20220719,20220802,14,20220803,20220816,9,B,3,0.00456,30.01,0.45,36.68,2.88,4.04,4.45,1.97,0.611386139,0.388613861,0.041204431
MAGM,20220719,20220802,14,20220803,20220816,9,C,1,0.00456,30,0.45,32.12,2.87,4.02,4.53,1.98,0.587064677,0.412935323,0.041162388
MAGM,20220719,20220802,14,20220803,20220816,9,C,2,0.00456,19.99,0.45,19.53,2.89,4.04,4.62,2.01,0.571782178,0.428217822,0.041149282
MAGM,20220719,20220802,14,20220803,20220816,9,C,3,0.00456,30.03,0.45,31.62,2.86,4.01,4.47,1.95,0.598503741,0.401496259,0.041167082
