site,date_deployed,date_collected,days_deployed,date_extracted,date_analyzed,sample_point,core_id,bag_id,core_sa_m2,resin_added,perc_dw_org,total_resin_ww,boat_weight,ww_subsample,dw_plus_boat,extraction_subsample_ww,percent_moisture,percent_dw,total_extractant_added_L
MAGM,20220719,20220802,14,20220803,20220816,1,A,1,0.00456,30.02,0.45,32.88,2.87,4.04,4.49,2.02,0.599009901,0.400990099,0.04121
MAGM,20220719,20220802,14,20220803,20220816,1,A,2,0.00456,29.97,0.45,31.62,2.87,3.99,4.64,1.96,0.556390977,0.443609023,0.041090526
MAGM,20220719,20220802,14,20220803,20220816,1,A,3,0.00456,30.03,0.45,33.7,2.87,4.01,4.53,1.96,0.586034913,0.413965087,0.041148628
MAGM,20220719,20220802,14,20220803,20220816,1,B,1,0.00456,30.1883,0.45,32.04,2.53,3.97,4.19,2,0.58186398,0.41813602,0.041163728
MAGM,20220719,20220802,14,20220803,20220816,1,B,2,0.00456,20.0198,0.45,18.97,2.66,4.01,4.44,2.02,0.556109726,0.443890274,0.041123342
MAGM,20220719,20220802,14,20220803,20220816,1,B,3,0.00456,30.0382,0.45,33.43,2.88,4,4.55,2.02,0.5825,0.4175,0.04117665
MAGM,20220719,20220802,14,20220803,20220816,1,C,1,0.00456,30.0389,0.45,34.42,2.88,3.98,4.46,2.04,0.603015075,0.396984925,0.041230151
MAGM,20220719,20220802,14,20220803,20220816,1,C,2,0.00456,20.0327,0.45,19.66,3.08,4.03,4.73,2.03,0.59057072,0.40942928,0.041198859
MAGM,20220719,20220802,14,20220803,20220816,1,C,3,0.00456,30.0261,0.45,33.79,3.04,4.04,4.57,1.97,0.621287129,0.378712871,0.041223936
MAGM,20220719,20220802,14,20220803,20220816,2,A,1,0.00456,30.04,0.45,32.33,2.86,4.05,4.56,2.02,0.580246914,0.419753086,0.041172099
MAGM,20220719,20220802,14,20220803,20220816,2,A,2,0.00456,20.0392,0.45,18.72,2.91,3.95,4.68,2.05,0.551898734,0.448101266,0.041131392
MAGM,20220719,20220802,14,20220803,20220816,2,A,3,0.00456,30.0351,0.45,32.38,2.88,4.03,4.53,2.01,0.59057072,0.40942928,0.041187047
MAGM,20220719,20220802,14,20220803,20220816,2,B,1,0.00456,30.0117,0.45,30.97,2.92,4.02,4.57,1.99,0.589552239,0.410447761,0.041173209
MAGM,20220719,20220802,14,20220803,20220816,2,B,2,0.00456,20.0269,0.45,17.72,3.08,3.95,4.83,2,0.556962025,0.443037975,0.041113924
MAGM,20220719,20220802,14,20220803,20220816,2,B,3,0.00456,30.0101,0.45,34.59,3.09,4.05,4.75,2.02,0.590123457,0.409876543,0.041192049
MAGM,20220719,20220802,14,20220803,20220816,2,C,1,0.00456,30.005,0.45,33.27,3.07,3.99,4.73,2.03,0.5839599,0.4160401,0.041185439
