site,year,date,method,sample_point,habitat,lat,long,easting,northing,amb_nox_mgL,amb_drp_mgL,amb_nh3_mgL,in_nox_mgL,in_drp_mgL,in_nh3_mgL,flux_drp_mgm2d,flux_nox_mgm2d,flux_nh3_mgm2d,soil_id,water_id,water_depth,phys_wtemp_C,phys_pH,phys_do_mgL,phys_do_pct,phys_spec_cond,phys_turb_fnu,soil_TP_mg_kg,soil_TN_mg_kg,M3_P_mg_kg,M3_Fe_mg_kg,M3_Al_mg_kg,soil_SPSC,M3_Ca_mg_kg,M3_Mg_mg_kg,M3_K_mg_kg,WE_srp_mg_kg,WE_nh3_mg_kg,WE_nox_mg_kg,soil_pH,ECw_uS_cm,bulk_density_g_cm3,N2_flux_mg_m2_d,O2_flux_mg_m2_d,TOC_mg_kg,resin_accum_top_drp_mgm2d,resin_accum_bottom_drp_mgm2d,resin_accum_top_nox_mgm2d,resin_accum_bottom_nox_mgm2d,resin_accum_top_nh3_mgm2d,resin_accum_bottom_nh3_mgm2d
MAGM,2022,20220711,ic,12,typha,41.60995667,-83.144685,321296,4608693,0.001635,0.01608,0.01193,0.023813333,0.015196667,0.015386667,1.845312,-1.343648,7.961408,S02536,W04033,89,25.7,7.09,5.44,67.3,360.7,4.58,226.7964641,957.9224596,44.27887068,1488.268574,1341.299407,192.1084684,4169.221334,782.1111199,117.5283036,0.1,17.25476014,0.5,7.54,188.6,NA,58.81577543,-823.9192001,38089,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,13,sav,41.608985,-83.14094333,321605,4608577,0.00615,0.01053,0.0165,0.016113333,0.00261,0.041873333,0.027456,2.269088,24.365216,S02652,W04127,110,23,NA,1.76,21.1,259.7,12.75,478.7748345,4578.487905,35.19992213,2114.057823,26.77376889,84.90230411,16706.21304,920.3885888,283.5071853,0.1,96.59385281,57.08611176,7.724,6550,0.284292036,-5.911915285,-258.549608,102447,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,14,sav,41.60968667,-83.13958,321721,4608652,0.02847,0.003985,0.01306,0.016113333,0.00261,0.041873333,0.842357333,1.896874667,17.64616533,S02653,W04128,100,23,NA,0.34,4.1,274,28.1,518.017887,4694.064772,40.68881822,2395.646546,531.171584,152.9136969,10892.15255,900.2149106,230.7864395,0.1,55.91653242,38.14249039,7.632,5647,0.284778005,7.99244288,-224.0220042,91912,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,15,sav,41.610255,-83.13949333,321730,4608715,0.00615,0.003985,0.01555,0.016113333,0.00261,0.041873333,1.062016,1.641962667,6.970336,S02654,W04129,91,23.1,NA,1.56,15.1,257.8,14.36,910.1289472,4165.287429,24.5086811,2020.100516,378.6764867,130.7959825,10754.41222,695.2869736,251.4781312,0.1,50.79951944,10.03471447,7.908,4715,0.408214205,-8.801425717,-290.0446323,86108,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,16,sav,41.61049167,-83.13918167,321756,4608741,0.00615,0.003985,0.01416,0.016113333,0.00261,0.041873333,0.102528,4.194485333,11.846016,S02655,W04130,92,22.8,NA,0.87,10.1,265.1,8.1,470.4083473,5424.33927,30.50753635,1799.190297,1021.632547,186.3890497,7137.283824,750.7204022,187.4987671,0.1,49.45225187,37.97142461,7.908,4830,0.840240906,-27.06592959,-382.2407417,107837,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,17,fav,41.61137167,-83.14190833,321532,4608844,0.00615,0.003985,0.01707,0.024156667,0.0066,0.032696667,-0.90344,-2.636362667,20.75746133,S02656,W04131,76.5,21.9,NA,0.28,3.3,298.4,19.41,487.2269783,4449.53393,25.94583074,1876.071619,1599.231179,261.5235655,11680.49383,1043.677223,362.3275699,0.1,43.02338297,22.74048089,7.816,5074,0.790186069,-142.0571995,-153.1897839,70022,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,18,fav,41.61154667,-83.13758167,321893,4608855,0.00615,0.00861,0.01703,0.024156667,0.0066,0.032696667,-0.222090667,-2.86256,11.57442133,S02657,W04132,89.5,21.9,NA,0.35,3.8,285.4,43.48,662.6964887,6150.056486,101.7159898,3553.914753,427.7565825,144.1313697,13338.02425,1051.137521,307.3167538,0.1,121.4836694,23.10009351,7.632,7579,NA,-78.77591045,133.1705229,114805,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,19,fav,41.608745,-83.138795,321784,4608546,0.00615,0.003985,0.01523,0.024156667,0.0066,0.032696667,-0.703258667,-1.396032,58.77185067,S02658,W04133,76,23.2,NA,0.7,7.7,293.5,48.62,512.7541321,5386.548993,52.57563285,2661.331907,699.4133823,175.0511157,11044.83344,840.1863224,286.1084814,0.1,104.0152784,18.3203618,7.908,5537,0.4257091,-92.43913735,-327.1015113,100743,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,20,fav,41.60964,-83.13709667,321928,4608642,0.00615,0.003985,0.01846,0.024156667,0.0066,0.032696667,-0.336373333,-2.35568,74.79344,S02659,W04134,90.5,22.7,NA,0.32,3.7,268.5,8.31,525.5296091,4412.336837,36.28135455,2250.975411,1054.734185,209.4253229,9770.366841,646.7284698,178.4415058,0.1,54.27203177,17.41575953,7.908,4740,0.401896604,-86.90289123,-112.0427487,71725,NA,NA,NA,NA,NA,NA
MAGM,2023,20230731,ic,21,fav,41.60840667,-83.13594833,322020,4608503,0.00615,0.01137,0.01829,0.015965,0.008673333,0.02942,-0.148992,1.356693333,8.913813333,S02660,W04135,77,22.4,NA,0.25,2.8,443.3,143.66,663.1149827,6393.719044,21.43356599,2284.857795,427.1924475,154.0976551,8624.514714,554.2410274,194.0347757,0.1,56.24244366,16.63918974,7.724,5071,0.431054762,-4.201835232,-211.3135904,95660,NA,NA,NA,NA,NA,NA
