event_id,coord_y,coord_x,utm_easting,utm_northing,datetime,location,samp_wdepth_cm,phys_wtemp_C,phys_pH,phys_do_mgL,phys_do_pct,phys_spec_cond,phys_turb_fnu
MAGM_20230829,41.611368,-83.141904,321532,4608844,8/29/2023 19:38,fav_7,79,19.9,6.96,1.36,14.7,271.9,9.85
MAGM_20230829,41.609642,-83.137096,321928,4608642,8/29/2023 19:29,fav_8,93,19.6,6.89,0.59,6.4,281.8,2.58
MAGM_20230829,41.608405,-83.135941,322021,4608502,8/29/2023 19:12,fav_9,75,19.7,6.61,0.59,6.5,325.3,27.29
MAGM_20230829,41.610228,-83.132421,322319,4608697,8/29/2023 18:45,fav_11,80,20,6.42,0.34,3.8,533,71.19
MAGM_20230829,41.610265,-83.130097,322513,4608697,8/29/2023 18:31,hardwoods_16,59,19.5,6.29,0.47,5.1,437.2,25.63
MAGM_20230829,41.610805,-83.129766,322542,4608756,8/29/2023 18:23,hardwoods_15,48,23.5,6.35,0.39,4.6,449.9,371.1
MAGM_20230829,41.611892,-83.129617,322557,4608876,8/29/2023 18:11,hardwoods_13,56,20.7,6.61,1.11,12.5,412.8,13.31
MAGM_20230829,41.611508,-83.129637,322554,4608834,8/29/2023 18:01,hardwoods_14,52,20.4,6.73,0.49,5.7,380.6,13.02
MAGM_20230829,41.610982,-83.129787,322540,4608776,8/29/2023 17:57,east_1,47,23.4,7.19,3.6,42.4,397.4,19.48
MAGM_20230829,41.606058,-83.151707,320700,4608274,8/29/2023 20:40,west_3,73,20,7.21,2.84,31,330,20.98
MAGM_20230829,41.605822,-83.151914,320682,4608249,8/29/2023 20:50,west_2,70,14.5,7.04,0.81,9,326.9,20.17
MAGM_20230829,41.605807,-83.151931,320681,4608247,8/29/2023 20:57,west_1,72,20.7,7.25,2.56,29,325.1,13.72
MAGM_20230829,41.610993,-83.130107,322514,4608778,8/29/2023 17:41,east_2,73.5,21.2,7.13,5.6,63.2,383,18.8
MAGM_20230829,41.610968,-83.130452,322485,4608776,8/29/2023 17:33,east_3,76,20.1,6.86,0.98,10.8,381.7,7.69
MAGM_20230829,41.610915,-83.131156,322426,4608771,8/29/2023 17:25,east_4,76,20.3,6.3,0.76,8.6,527,25.09
MAGM_20230829,41.610872,-83.131156,322426,4608766,8/29/2023 17:16,east_5,77,20.1,6.78,0.9,10,386.4,16.45
MAGM_20230829,41.61188,-83.131599,322392,4608879,8/29/2023 17:02,fav_12,76,14.2,6.69,0.36,4,248.7,3.03
MAGM_20230829,41.61054,-83.134727,322128,4608737,8/29/2023 16:51,fav_10,87,14.6,6.42,1.92,11.2,401.3,69.02
MAGM_20230829,41.611545,-83.137586,321892,4608854,8/29/2023 16:35,fav_6,96,19.2,6.87,0.87,9.5,267.2,2.97
MAGM_20230829,41.611368,-83.141904,321532,4608844,8/29/2023 16:22,fav_5,69,19.7,6.97,2.8,32.1,282.1,28.8
MAGM_20230908,41.611452,-83.129667,322552,4608828,9/8/2023 17:22,hardwoods_14,78,-999,6.42,1.18,14.3,571,233.1
MAGM_20230908,41.61188,-83.131,322442,4608878,9/8/2023 16:27,fav_12,97,-999,6.45,0.7,7.9,347.2,22.72
MAGM_20230908,41.610982,-83.129787,322540,4608776,9/8/2023 17:11,east_1,61,-999,7.02,1.55,18.2,343.7,1674.2
MAGM_20230908,41.609642,-83.137096,321928,4608642,9/8/2023 18:13,fav_8,102,-999,6.93,1.27,17.5,360.1,108.57
MAGM_20230908,41.60643,-83.151177,320746,4608315,9/8/2023 18:50,west_5,81,-999,6.84,1.65,11.2,393.4,89.65
MAGM_20230908,41.610872,-83.131156,322426,4608766,9/8/2023 16:50,east_5,93,-999,6.44,0.68,7.8,539,40.61
MAGM_20230908,41.610255,-83.139492,321730,4608715,9/8/2023 15:24,sav_3,110,-999,7.1,1.38,16.4,310.7,51.2
MAGM_20230908,41.605807,-83.151931,320681,4608247,9/8/2023 19:07,west_1,80,-999,7.22,2.72,33,311.8,25
MAGM_20231003,41.611005,-83.13014167,322511,4608779,10/3/2023 16:32,MAGM_4_graces,-999,20.2,7.04,2.41,26.8,374.6,6.3
MAGM_20231003,41.61013667,-83.13564833,322050,4608694,10/3/2023 17:10,MAGM_3_graces,96.52,19.8,7.08,0.43,4.6,330.5,6.44
MAGM_20231003,41.60849833,-83.14300833,321432,4608527,10/3/2023 17:59,MAGM_2_graces,95.25,19,6.76,0.15,1.7,312.7,8.58
MAGM_20231003,41.60597833,-83.15207667,320669,4608266,10/3/2023 18:42,MAGM_1_graces,67.31,20.5,7.4,0.57,6.2,371.2,124.05
